Feature,TUM_N,LMU_N,MWU_stat,MWU_p,TUM_Median,LMU_Median,TUM_Mean,LMU_Mean,TUM_STD,LMU_STD,Rank_Biserial,MWU_q
CT_Peri_Deri,326,840,0.0,4.110962217146226e-155,24.1914947797301,82.7,24.558721982937072,83.35169391785713,2.472808087629854,8.859501101458521,-1.0,7.638765232220319e-154
CT_Area_Deri,326,840,0.0,4.129062287686659e-155,23.6114412754479,506.25,23.988718431497382,521.0847352857143,2.4416663336536653,110.42313983001183,-1.0,7.638765232220319e-154
CT_AnnScTot,326,840,12664.0,4.2143509192045337e-128,78.0,699.0,118.11196319018404,858.496210475,133.56167210858703,637.5835770643538,-0.907508033888402,5.197699467018925e-127
CT_AnnScRCC,325,840,15804.5,1.2350632218821695e-121,8.0,200.0,25.857538461538464,260.86923148333335,42.3974643295616,227.82384924156338,-0.8842161172161173,1.1424334802410067e-120
CT_AnnScNCC,326,840,16949.5,1.3189096045138715e-119,22.45,297.0,46.21196319018404,356.3348249047619,64.04039358317429,272.6943543482523,-0.8762087350277534,9.75993107340265e-119
QRSADM,320,600,11867.0,1.739929779522663e-106,100.0,172.0,109.059375,173.36666666666667,26.347441737833424,30.798806790552103,-0.8763854166666667,1.0729566973723088e-105
CT_AnnScLCC,326,839,29790.0,1.1596066968032441e-95,20.65,175.0,46.1217791411043,244.34374798319425,63.04770002193328,216.2912133457865,-0.7821683716372836,6.129349683102862e-95
PQADM,223,598,105060.0,5.870930291879301e-37,180.0,142.0,183.83856502242153,145.30434782608697,37.66926892514623,34.416227734653084,0.57565577335513,2.7153052599941766e-36
CT_AnnMean,326,840,94545.0,2.1835206352768754e-16,23.95,25.533220999999998,24.27102760736196,25.72105219642857,2.48710655535645,2.7512720413741683,-0.30948729184925505,8.976695945027154e-16
AFPRE,326,841,167962.0,1.15467754247646e-13,0.0,0.0,0.4785276073619632,0.25326991676575505,0.5003066544293187,0.4351429810567663,0.22525769059620804,4.2723069071629025e-13
PREDILATION,326,841,162352.5,1.67111275815621e-11,1.0,1.0,0.9049079754601227,0.7205707491082045,0.2937929529409015,0.44898579630788304,0.18433722635191807,5.6210156410708886e-11
brand8,326,841,123159.5,4.5528055820692244e-09,0.0,0.0,0.003067484662576687,0.10463733650416171,0.05538487756217112,0.30626769023277073,-0.10156985184158507,1.4037817211380109e-08
model2,326,841,158151.0,4.396850663719794e-08,0.0,0.0,0.3558282208588957,0.20214030915576695,0.4794995031051187,0.4018352947408031,0.15368791170312868,1.2514113427510183e-07
LVEFPRE,326,792,151385.5,3.745630067334309e-06,60.0,55.0,51.87638036809816,51.92929292929293,11.618376442758436,8.828184408729753,0.17265833178409862,9.899165177954959e-06
nyha2,326,841,152639.5,7.582291670502079e-06,0.0,0.0,0.2668711656441718,0.15338882282996433,0.44300445765757623,0.36057632745722673,0.11348234281420755,1.8702986120571795e-05
nyha3,326,841,119478.0,2.8904203707876634e-05,1.0,1.0,0.5766871165644172,0.7051129607609988,0.494843633689206,0.4562633093541174,-0.12842584419658165,6.684097107446471e-05
CT_ValScRCC,325,423,57553.5,0.00013463027207765747,245.0,291.0,290.89876923076923,363.1536643026005,221.2127629228522,264.81178602647503,-0.16270594653573378,0.00029301882746313683
brand2,326,841,122913.0,0.0003556453629522871,1.0,1.0,0.656441717791411,0.7598097502972652,0.47562581411680216,0.42745310179966156,-0.10336803250585413,0.0007310488016241457
model3,326,841,122905.0,0.000854584138045397,0.0,0.0,0.26993865030674846,0.3733650416171225,0.4446101101760824,0.48398565618776784,-0.10342639131037401,0.0016641901635620889
model4,326,841,124884.5,0.0024456212701071157,0.0,0.0,0.21779141104294478,0.30677764565992865,0.4133793557271425,0.4614307039494745,-0.08898623461698385,0.004524399349698164
model7,326,841,142767.0,0.019589054008526213,0.0,0.0,0.11042944785276074,0.06896551724137931,0.313906109810417,0.253546276418555,0.04146393061138132,0.0345140475388319
